"Symbol","Synonym Symbol","Scientific Name with Author","Common Name","Family"
"NAAM","ABAM4","Abama americana (Ker Gawl.) Morong","","Liliaceae"
"NAAM","ABMO3","Abama montana Small","","Liliaceae"
"ABGR4","","Abelia ×grandiflora (Rovelli ex André) Rehder","glossy abelia","Caprifoliaceae"
"ABELI","","Abelia R. Br.","abelia","Caprifoliaceae"
"ABES","","Abelmoschus esculentus (L.) Moench","okra","Malvaceae"
"ABMA9","","Abelmoschus manihot (L.) Medik. [excluded]","NULL","Malvaceae"
"ABELM","","Abelmoschus Medik.","okra","Malvaceae"
"ABMO","","Abelmoschus moschatus Medik.","musk okra","Malvaceae"
"DOCA3","ABCA4","Aberia caffra Hook. f. & Harv.","","Flacourtiaceae"
"DOHE2","ABGA","Aberia gardneri D. Clos","","Flacourtiaceae"
"ABAL3","","Abies alba Mill.","silver fir","Pinaceae"
"ABAM","","Abies amabilis (Douglas ex Loudon) Douglas ex Forbes","Pacific silver fir","Pinaceae"
"ABLAA","ABAR2","Abies arizonica Merriam","","Pinaceae"
"ABBA","","Abies balsamea (L.) Mill.","balsam fir","Pinaceae"
"ABLAL","ABBAL","Abies balsamea (L.) Mill. ssp. lasiocarpa (Hook.) B. Boivin","","Pinaceae"
"ABBAB","","Abies balsamea (L.) Mill. var. balsamea","balsam fir","Pinaceae"
"ABLAL","ABBAF","Abies balsamea (L.) Mill. var. fallax (Engelm.) B. Boivin","","Pinaceae"
"ABBAP","","Abies balsamea (L.) Mill. var. phanerolepis Fernald","NULL","Pinaceae"
"ABLAL","ABBI3","Abies bifolia A. Murray bis","","Pinaceae"
"ABBR","","Abies bracteata (D. Don) D. Don ex Poit.","bristlecone fir","Pinaceae"
"ABCO","","Abies concolor (Gord. & Glend.) Lindl. ex Hildebr.","white fir","Pinaceae"
"ABCO","ABCOC","Abies concolor (Gord. & Glend.) Lindl. ex Hildebr. var. concolor","","Pinaceae"
"ABLO","ABCOL","Abies concolor (Gord. & Glend.) Lindl. ex Hildebr. var. lowiana (Gord. & Glend.) Lemmon","","Pinaceae"
"ABFR","","Abies fraseri (Pursh) Poir.","Fraser fir","Pinaceae"
"ABGR","","Abies grandis (Douglas ex D. Don) Lindl.","grand fir","Pinaceae"
"ABGR","ABGRJ","Abies grandis (Douglas ex D. Don) Lindl. f. johnsonii O.V. Matthews","","Pinaceae"
"ABGR","ABGRI2","Abies grandis (Douglas ex D. Don) Lindl. ssp. idahoensis (Silba) Silba","","Pinaceae"
"ABGR","ABGRG","Abies grandis (Douglas ex D. Don) Lindl. var. grandis ","","Pinaceae"
"ABGR","ABGRI","Abies grandis (Douglas ex D. Don) Lindl. var. idahoensis Silba","","Pinaceae"
"ABGU","","Abies guatemalensis Rehder","Guatemalan fir","Pinaceae"
"ABHO","","Abies homolepis Siebold & Zucc.","Nikko fir","Pinaceae"
"ABLA","","Abies lasiocarpa (Hook.) Nutt.","subalpine fir","Pinaceae"
"ABLAA","","Abies lasiocarpa (Hook.) Nutt. var. arizonica (Merriam) Lemmon","corkbark fir","Pinaceae"
"ABLAL","","Abies lasiocarpa (Hook.) Nutt. var. lasiocarpa","subalpine fir","Pinaceae"
"ABLO","","Abies lowiana (Gordon & Glend.) A. Murray bis","Sierra white fir","Pinaceae"
"ABMA","","Abies magnifica A. Murray bis","California red fir","Pinaceae"
"ABMAS","ABMAS2","Abies magnifica A. Murray bis ssp. shastensis (Lemmon) Silba","","Pinaceae"
"ABMAS","ABMAC","Abies magnifica A. Murray bis var. critchfieldii Lanner","","Pinaceae"
"ABMAM","","Abies magnifica A. Murray bis var. magnifica ","California red fir","Pinaceae"
"ABMAS","","Abies magnifica A. Murray bis var. shastensis Lemmon","Shasta red fir","Pinaceae"
"ABIES","","Abies Mill.","fir","Pinaceae"
"ABPR","ABNO","Abies nobilis (Douglas ex D. Don) Lindl.","","Pinaceae"
"ABBAP","ABPH","Abies ×phanerolepis (Fernald) Liu","","Pinaceae"
"ABPR","","Abies procera Rehder","noble fir","Pinaceae"
"ABMAS","ABSH","Abies ×shastensis (Lemmon) Lemmon","","Pinaceae"
"ABLAL","ABSU","Abies subalpina Engelmann","","Pinaceae"
"ABVE2","","Abies veitchii Lindl.","Christmastree","Pinaceae"
"ABBR","ABVE","Abies venusta (Douglas) K. Koch","","Pinaceae"
"ABAB70","","Abietinella abietina (Hedw.) Fleisch.","abietinella moss","Thuidiaceae"
"ABIET","","Abietinella Müll. Hal.","abietenella moss","Thuidiaceae"
"ABOV","ABMO4","Abildgaardia monostachya (L.) Vahl","","Cyperaceae"
"ABOV","","Abildgaardia ovata (Burm. f.) Kral","flatspike sedge","Cyperaceae"
"ABILD","","Abildgaardia Vahl","sedge","Cyperaceae"
"ABSA2","ABSA4","Abortopetalum sandwicense O. Deg.","","Malvaceae"
"ABUMB","ABAC","Abronia acutalata Standl.","","Nyctaginaceae"
"ABUMU","ABAL2","Abronia alba Eastw.","","Nyctaginaceae"
"ABAL","","Abronia alpina Brandegee","Ramshaw Meadows sand verbena","Nyctaginaceae"
"ABAM2","","Abronia ameliae Lundell","Amelia's sand verbena","Nyctaginaceae"
"ABAM3","","Abronia ammophila Greene","Wyoming sand verbena","Nyctaginaceae"
"ABAN","","Abronia angustifolia Greene","purple sand verbena","Nyctaginaceae"
"ABAN","ABANA","Abronia angustifolia Greene var. arizonica (Standl.) Kearney & Peebles","","Nyctaginaceae"
"ABAR","","Abronia argillosa S.L. Welsh & Goodrich","clay sand verbena","Nyctaginaceae"
"ABBI","","Abronia bigelovii Heimerl","Galisteo sand verbena","Nyctaginaceae"
"ABBO","","Abronia bolackii N.D. Atwood, S.L. Welsh & K.D. Heil","Bolack's sand verbena","Nyctaginaceae"
"ABUMB","ABBR2","Abronia breviflora Standl.","","Nyctaginaceae"
"ABCA","","Abronia carletonii J.M. Coult. & Fisher","Carleton's sand verbena","Nyctaginaceae"
"TRCAC7","ABCA3","Abronia carnea Greene","","Nyctaginaceae"
"TRCR5","ABCR","Abronia crux-maltae Kellogg","","Nyctaginaceae"
"TRMI6","ABCY2","Abronia cycloptera A. Gray","","Nyctaginaceae"
"ABEL","","Abronia elliptica A. Nelson","fragrant white sand verbena","Nyctaginaceae"
"ABTU","ABEX","Abronia exalata Standl.","","Nyctaginaceae"
"ABAM3","ABFE","Abronia fendleri Standl.","","Nyctaginaceae"
"ABFR2","","Abronia fragrans Nutt. ex Hook.","snowball sand verbena","Nyctaginaceae"
"ABEL","ABFRE2","Abronia fragrans Nutt. ex Hook. var. elliptica (A. Nelson) M.E. Jones","","Nyctaginaceae"
"ABFR2","ABFRG2","Abronia fragrans Nutt. ex Hook. var. glaucescens A. Nelson","","Nyctaginaceae"
"ABGR2","","Abronia gracilis Benth.","slender sand verbena","Nyctaginaceae"
"ABIN2","","Abronia insularis Standl.","island sand verbena","Nyctaginaceae"
"ABRON","","Abronia Juss.","sand verbena","Nyctaginaceae"
"ABLA2","","Abronia latifolia Eschsch.","coastal sand verbena","Nyctaginaceae"
"ABMA5","","Abronia macrocarpa L.A. Galloway","largefruit sand verbena","Nyctaginaceae"
"ABMA2","","Abronia maritima Nutt. ex S. Watson","red sand verbena","Nyctaginaceae"
"ABME","","Abronia mellifera Douglas ex Hook.","white sand verbena","Nyctaginaceae"
"TRMI6","ABMI3","Abronia micrantha Torr.","","Nyctaginaceae"
"TRMI6","ABMIP","Abronia micrantha Torr. var. pedunculata M.E. Jones","","Nyctaginaceae"
"ABMI2","","Abronia minor Standl.","little sand verbena","Nyctaginaceae"
"ABNA","","Abronia nana S. Watson","dwarf sand verbena","Nyctaginaceae"
"ABNAC","ABNAC2","Abronia nana S. Watson ssp. covillei (Heimerl) Munz","","Nyctaginaceae"
"ABNAC","","Abronia nana S. Watson var. covillei (Heimerl) Munz","Coville's dwarf sand verbena","Nyctaginaceae"
"ABNAH","","Abronia nana S. Watson var. harrisii S.L. Welsh","Harris' dwarf sand verbena","Nyctaginaceae"
"ABNAN","ABNAL","Abronia nana S. Watson var. lanciformis M.E. Jones","","Nyctaginaceae"
"ABNAN","","Abronia nana S. Watson var. nana","dwarf sand verbena","Nyctaginaceae"
"ABNE","","Abronia neurophylla Standl.","beach sand verbena","Nyctaginaceae"
"ABTU","ABOR2","Abronia orbiculata Standl.","","Nyctaginaceae"
"ABVIA","ABPI2","Abronia pinetorum Abrams","","Nyctaginaceae"
"ABUMU","ABPL","Abronia platyphylla Standl.","","Nyctaginaceae"
"ABPO","","Abronia pogonantha Heimerl","Mojave sand verbena","Nyctaginaceae"
"ABEL","ABPU2","Abronia pumila Rydb.","","Nyctaginaceae"
"ABEL","ABRA","Abronia ramosa Standl.","","Nyctaginaceae"
"ABEL","ABSA3","Abronia salsa Rydb.","","Nyctaginaceae"
"ABAN","ABTO","Abronia torreyi Standl.","","Nyctaginaceae"
"ABTU","","Abronia turbinata Torr. ex S. Watson","transmontane sand verbena","Nyctaginaceae"
"ABUM","","Abronia umbellata Lam.","pink sand verbena","Nyctaginaceae"
"ABUMB","ABUMA2","Abronia umbellata Lam. ssp. acutalata (Standl.) Tillett","","Nyctaginaceae"
"ABUMU","ABUMA4","Abronia umbellata Lam. ssp. alba (Eastw.) Munz","","Nyctaginaceae"
"ABUMB","","Abronia umbellata Lam. ssp. breviflora (Standl.) Munz","pink sand verbena","Nyctaginaceae"
"ABUMU","ABUMP","Abronia umbellata Lam. ssp. platyphylla (Standl.) Munz","","Nyctaginaceae"
"ABUMU","","Abronia umbellata Lam. ssp. umbellata","pink sand verbena","Nyctaginaceae"
"ABUMU","ABUMV","Abronia umbellata Lam. ssp. variabilis (Standl.) Munz","","Nyctaginaceae"
"ABUMB","ABUMA3","Abronia umbellata Lam. var. acutalata (Standl.) C.L. Hitchc.","","Nyctaginaceae"
"ABUMU","ABVA","Abronia variabilis Standl.","","Nyctaginaceae"
